,Date,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
17,11/22,Frontier Airlines,PVD,327.0,32.0,35.0,0.0,45.0,3.24,0.56,0.48,0.0,1.71
18,12/21,"Commutair Aka Champlain Enterprises, Inc.",ELP,0.0,0.0,65.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
19,12/22,Delta Air Lines Network,SMF,1562.0,0.0,301.0,0.0,358.0,20.18,0.0,12.16,0.0,9.66
20,12/23,SkyWest Airlines Inc.,MFR,547.0,2929.0,485.0,0.0,974.0,10.63,11.75,10.64,0.0,4.98
21,11/22,Mesa Airlines Inc.,XNA,17.0,0.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22,12/22,Southwest Airlines,HRL,1495.0,118.0,423.0,0.0,1833.0,23.46,2.18,8.16,0.0,23.2
23,11/23,Alaska Airlines Network,SLC,180.0,17.0,201.0,0.0,497.0,4.29,0.22,5.59,0.0,8.9
24,12/21,GoJet Airlines LLC d/b/a United Express,MHT,231.0,0.0,41.0,0.0,483.0,5.41,0.0,0.64,0.0,2.94
25,11/21,American Airlines Network,SEA,2059.0,15.0,738.0,19.0,1827.0,44.01,0.58,25.73,0.21,21.48
26,11/23,SkyWest Airlines Inc.,HYS,512.0,227.0,74.0,0.0,430.0,5.83,0.91,1.26,0.0,7.0
27,12/22,PSA Airlines Inc.,PGV,30.0,0.0,14.0,0.0,34.0,0.68,0.0,0.32,0.0,1.0
28,11/22,CommuteAir LLC dba CommuteAir,LIT,702.0,0.0,105.0,0.0,469.0,9.91,0.0,1.86,0.0,4.24
29,11/21,Southwest Airlines,ORF,1163.0,0.0,138.0,26.0,883.0,26.52,0.0,5.41,1.0,20.07
30,12/22,Spirit Airlines,CLT,2423.0,163.0,1449.0,56.0,1369.0,23.54,2.0,20.71,0.91,18.84
31,11/23,Delta Air Lines Network,CLE,1184.0,0.0,106.0,0.0,137.0,12.36,0.0,2.89,0.0,2.76
32,11/23,Envoy Air,IAH,146.0,4.0,420.0,0.0,291.0,2.77,0.27,13.8,0.0,4.17
33,12/21,JetBlue Airways,SEA,588.0,69.0,959.0,3.0,357.0,9.02,0.39,23.36,0.04,3.2
34,12/21,SkyWest Airlines Inc.,MAF,1158.0,418.0,0.0,0.0,94.0,16.0,2.0,0.0,0.0,2.0
35,12/21,SkyWest Airlines Inc.,JAN,45.0,0.0,0.0,0.0,154.0,1.0,0.0,0.0,0.0,2.0
36,11/21,American Airlines Network,SAN,3336.0,505.0,258.0,131.0,3608.0,42.25,1.0,7.3,3.12,34.32
37,11/23,SkyWest Airlines Inc.,APN,331.0,181.0,114.0,0.0,0.0,4.81,1.63,1.56,0.0,0.0
38,11/21,SkyWest Airlines Inc.,SEA,5808.0,1265.0,87.0,0.0,861.0,106.0,24.0,3.0,0.0,13.0
39,11/23,Envoy Air,EWR,219.0,163.0,134.0,0.0,112.0,4.28,0.98,2.94,0.0,1.8
40,12/21,Endeavor Air Inc.,GRB,416.0,231.0,304.0,0.0,470.0,8.77,2.0,7.28,0.0,3.95
41,11/23,Envoy Air,HPN,278.0,18.0,157.0,0.0,739.0,4.69,0.08,5.33,0.0,9.9
42,11/23,SkyWest Airlines Inc.,JLN,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0
43,11/22,Endeavor Air Inc.,JAX,116.0,0.0,368.0,0.0,590.0,1.51,0.0,8.95,0.0,8.54
44,11/23,Allegiant Air,GRI,29.0,0.0,62.0,0.0,0.0,0.71,0.0,3.29,0.0,0.0
45,11/22,Allegiant Air,SRQ,781.0,71.0,1268.0,0.0,2001.0,14.09,1.92,33.38,0.0,23.61
46,11/21,Envoy Air,ORD,7885.0,228.0,2410.0,65.0,8252.0,100.33,3.28,83.64,1.35,88.41
47,11/23,American Airlines Network,DTW,1087.0,53.0,484.0,4.0,2015.0,27.15,0.78,17.3,0.19,24.58
48,11/23,Southwest Airlines,IND,3184.0,0.0,518.0,234.0,3091.0,67.74,0.0,19.89,1.0,65.37
49,11/21,Southwest Airlines,PHX,16202.0,272.0,2855.0,522.0,18638.0,329.63,3.11,80.59,8.97,380.7
50,12/21,American Airlines Network,ALB,184.0,0.0,57.0,0.0,36.0,4.73,0.0,1.36,0.0,1.9
51,11/22,Southwest Airlines,SDF,1047.0,0.0,288.0,0.0,959.0,28.0,0.0,8.73,0.0,23.27
52,12/21,Southwest Airlines,LGB,4771.0,521.0,2770.0,20.0,7437.0,110.86,7.03,67.06,0.36,147.68
