,Date,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
30,11/2022,American Airlines Network,ILM,"Wilmington, NC: Wilmington International",1084.0,0.0,130.0,19.0,1859.0,14.46,0.0,2.39,0.19,17.95
31,12/2021,"Commutair Aka Champlain Enterprises, Inc.",PNS,"Pensacola, FL: Pensacola International",677.0,97.0,186.0,0.0,56.0,11.47,0.92,7.13,0.0,1.48
32,11/2023,Air Wisconsin Airlines Corp,CAE,"Columbia, SC: Columbia Metropolitan",794.0,101.0,65.0,0.0,2309.0,3.69,1.0,2.93,0.0,7.38
33,12/2021,SkyWest Airlines Inc.,EAU,"Eau Claire, WI: Chippewa Valley Regional",214.0,0.0,0.0,0.0,244.0,4.0,0.0,0.0,0.0,2.0
34,11/2022,PSA Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,12/2021,United Air Lines Network,HNL,"Honolulu, HI: Daniel K Inouye International",3271.0,199.0,1177.0,0.0,1395.0,78.19,0.71,31.95,0.0,17.16
36,12/2022,JetBlue Airways,BUF,"Buffalo, NY: Buffalo Niagara International",3518.0,42.0,456.0,0.0,1414.0,46.91,0.59,13.12,0.0,22.38
37,11/2022,Southwest Airlines,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",1210.0,0.0,411.0,0.0,845.0,27.21,0.0,8.63,0.0,23.16
38,11/2022,Envoy Air,OMA,"Omaha, NE: Eppley Airfield",115.0,110.0,222.0,0.0,67.0,1.93,2.18,6.88,0.0,2.01
39,12/2021,American Airlines Network,GSO,"Greensboro/High Point, NC: Piedmont Triad International",176.0,0.0,29.0,0.0,206.0,5.83,0.0,1.29,0.0,3.88
40,11/2021,GoJet Airlines LLC d/b/a United Express,ORF,"Norfolk, VA: Norfolk International",593.0,0.0,84.0,0.0,149.0,7.18,0.0,3.22,0.0,1.6
41,12/2021,Republic Airline,TVC,"Traverse City, MI: Cherry Capital",84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,11/2022,SkyWest Airlines Inc.,MFR,"Medford, OR: Rogue Valley International - Medford",2349.0,781.0,0.0,0.0,115.0,31.0,8.0,0.0,0.0,3.0
43,12/2021,SkyWest Airlines Inc.,TVC,"Traverse City, MI: Cherry Capital",477.0,0.0,0.0,0.0,445.0,5.0,0.0,0.0,0.0,5.0
44,12/2023,Allegiant Air,XNA,"Fayetteville, AR: Northwest Arkansas National",395.0,0.0,210.0,0.0,500.0,8.69,0.0,5.32,0.0,7.98
45,12/2023,Republic Airline,TVC,"Traverse City, MI: Cherry Capital",0.0,0.0,16.0,0.0,54.0,0.0,0.0,1.0,0.0,1.0
46,11/2021,"Commutair Aka Champlain Enterprises, Inc.",OKC,"Oklahoma City, OK: Will Rogers World",180.0,0.0,97.0,0.0,15.0,3.19,0.0,2.52,0.0,0.28
47,12/2022,SkyWest Airlines Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",2630.0,265.0,0.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0
48,12/2022,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",215.0,202.0,108.0,0.0,100.0,3.23,1.33,1.39,0.0,2.05
49,12/2021,"Commutair Aka Champlain Enterprises, Inc.",LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",543.0,52.0,39.0,0.0,553.0,6.93,0.25,1.51,0.0,4.31
50,11/2022,Allegiant Air,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",210.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0
51,12/2022,JetBlue Airways,RSW,"Fort Myers, FL: Southwest Florida International",4852.0,40.0,1346.0,132.0,3438.0,62.79,1.0,27.62,2.58,35.02
52,12/2022,Allegiant Air,ROA,"Roanoke, VA: Roanoke Blacksburg Regional",125.0,0.0,8.0,0.0,189.0,1.06,0.0,0.19,0.0,3.75
53,11/2021,SkyWest Airlines Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",3112.0,261.0,0.0,0.0,1251.0,39.0,5.0,0.0,0.0,14.0
54,11/2022,Delta Air Lines Network,BOS,"Boston, MA: Logan International",8859.0,451.0,2848.0,0.0,4299.0,93.07,5.71,81.25,0.0,69.97
55,12/2022,PSA Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",39.0,0.0,66.0,0.0,283.0,1.04,0.0,2.19,0.0,2.77
56,11/2021,Hawaiian Airlines Network,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",1030.0,0.0,0.0,0.0,93.0,11.98,0.0,0.0,0.0,2.02
57,11/2022,Allegiant Air,PBG,"Plattsburgh, NY: Plattsburgh International",214.0,304.0,64.0,0.0,24.0,3.76,1.0,2.24,0.0,1.0
58,12/2023,GoJet Airlines LLC d/b/a United Express,PVD,"Providence, RI: Rhode Island Tf Green International",107.0,752.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
59,12/2021,Allegiant Air,ELP,"El Paso, TX: El Paso International",38.0,0.0,19.0,0.0,101.0,1.68,0.0,1.0,0.0,1.32
60,12/2021,"Commutair Aka Champlain Enterprises, Inc.",GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",313.0,173.0,75.0,0.0,142.0,5.21,0.9,0.93,0.0,0.96
61,12/2022,Frontier Airlines,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",69.0,80.0,92.0,0.0,180.0,2.02,1.09,1.38,0.0,1.51
62,11/2021,PSA Airlines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",142.0,0.0,279.0,0.0,314.0,4.74,0.0,7.44,0.0,7.82
63,12/2023,PSA Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",25.0,0.0,58.0,0.0,26.0,1.05,0.0,1.32,0.0,0.63
64,12/2022,JetBlue Airways,MCI,"Kansas City, MO: Kansas City International",1164.0,0.0,18.0,0.0,815.0,13.5,0.0,0.62,0.0,5.88
65,12/2021,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International",362.0,139.0,127.0,0.0,34.0,2.59,0.86,3.35,0.0,1.2
66,12/2022,United Air Lines Network,CLT,"Charlotte, NC: Charlotte Douglas International",2675.0,344.0,521.0,0.0,3687.0,36.01,1.96,13.28,0.0,40.74
67,11/2022,Allegiant Air,TUL,"Tulsa, OK: Tulsa International",155.0,0.0,366.0,0.0,87.0,3.0,0.0,3.41,0.0,2.6
68,12/2022,Southwest Airlines,BLI,"Bellingham, WA: Bellingham International",466.0,0.0,80.0,0.0,790.0,9.15,0.0,1.56,0.0,11.29
69,12/2021,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",588.0,69.0,959.0,3.0,357.0,9.02,0.39,23.36,0.04,3.2
70,11/2021,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",7.0,0.0,11.0,0.0,0.0,0.39,0.0,0.61,0.0,0.0
71,11/2022,Endeavor Air Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",95.0,0.0,50.0,0.0,273.0,2.17,0.0,2.4,0.0,3.43
72,11/2021,Delta Air Lines Network,DAB,"Daytona Beach, FL: Daytona Beach International",232.0,0.0,75.0,197.0,71.0,6.26,0.0,3.4,2.0,3.34
73,12/2022,Allegiant Air,CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",166.0,0.0,3.0,0.0,233.0,3.26,0.0,0.19,0.0,4.55
74,12/2022,Allegiant Air,OWB,"Owensboro, KY: Owensboro Daviess County Regional",49.0,0.0,0.0,0.0,56.0,1.54,0.0,0.0,0.0,1.46
75,12/2022,Alaska Airlines Network,MCI,"Kansas City, MO: Kansas City International",620.0,20.0,203.0,0.0,437.0,8.88,1.0,6.15,0.0,7.97
76,12/2023,SkyWest Airlines Inc.,STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",339.0,5.0,413.0,0.0,605.0,8.41,0.16,16.96,0.0,18.48
77,11/2021,Endeavor Air Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",0.0,0.0,44.0,0.0,30.0,0.0,0.0,2.0,0.0,1.0
