,Year,Month,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
62,2023,11,SkyWest Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",1833.0,1391.0,1126.0,0.0,703.0,31.88,17.81,25.19,0.0,14.12
63,2022,11,Delta Air Lines Network,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",3182.0,53.0,1243.0,0.0,1322.0,29.47,0.85,39.7,0.0,22.98
64,2021,11,Envoy Air,SWO,"Stillwater, OK: Stillwater Regional",11.0,0.0,11.0,0.0,76.0,0.51,0.0,0.55,0.0,1.94
65,2022,12,Spirit Airlines,MEM,"Memphis, TN: Memphis International",1047.0,79.0,158.0,11.0,456.0,5.71,1.0,3.27,0.08,4.94
66,2021,12,Frontier Airlines,TTN,"Trenton, NJ: Trenton Mercer",1314.0,0.0,680.0,0.0,1781.0,30.31,0.0,13.05,0.0,23.63
67,2023,12,Delta Air Lines Network,EYW,"Key West, FL: Key West International",1157.0,0.0,329.0,0.0,120.0,5.91,0.0,6.35,0.0,2.73
68,2022,12,SkyWest Airlines Inc.,RAP,"Rapid City, SD: Rapid City Regional",3546.0,924.0,0.0,0.0,803.0,32.0,11.0,0.0,0.0,8.0
69,2022,11,Hawaiian Airlines Network,ITO,"Hilo, HI: Hilo International",1848.0,154.0,81.0,0.0,2346.0,55.58,2.0,2.25,0.0,60.16
70,2022,12,Envoy Air,PNS,"Pensacola, FL: Pensacola International",786.0,788.0,314.0,0.0,142.0,5.23,2.09,6.65,0.0,4.03
71,2022,12,CommuteAir LLC dba CommuteAir,CHS,"Charleston, SC: Charleston AFB/International",135.0,0.0,77.0,0.0,43.0,1.7,0.0,2.21,0.0,1.09
72,2022,11,SkyWest Airlines Inc.,LWS,"Lewiston, ID: Lewiston Nez Perce County",310.0,0.0,0.0,0.0,132.0,10.0,0.0,0.0,0.0,3.0
73,2023,12,Air Wisconsin Airlines Corp,PIA,"Peoria, IL: General Downing - Peoria International",234.0,139.0,159.0,0.0,109.0,3.48,1.55,4.51,0.0,1.45
74,2023,12,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",682.0,0.0,15.0,0.0,78.0,9.7,0.0,0.21,0.0,1.1
75,2021,12,Delta Air Lines Network,BOI,"Boise, ID: Boise Air Terminal",877.0,530.0,322.0,0.0,282.0,16.74,2.32,9.66,0.0,5.28
76,2022,11,SkyWest Airlines Inc.,PWM,"Portland, ME: Portland International Jetport",257.0,0.0,295.0,0.0,243.0,5.0,0.0,1.0,0.0,3.0
77,2023,11,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",470.0,0.0,412.0,0.0,665.0,5.42,0.0,12.9,0.0,6.68
78,2023,12,Envoy Air,GNV,"Gainesville, FL: Gainesville Regional",118.0,0.0,116.0,0.0,8.0,4.5,0.0,3.23,0.0,0.27
79,2022,11,Delta Air Lines Network,GRB,"Green Bay, WI: Green Bay Austin Straubel International",193.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
80,2023,12,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",132.0,9.0,237.0,0.0,0.0,3.58,0.25,4.17,0.0,0.0
81,2023,12,Endeavor Air Inc.,MDT,"Harrisburg, PA: Harrisburg International",50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82,2021,11,"Commutair Aka Champlain Enterprises, Inc.",JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",603.0,685.0,39.0,0.0,40.0,10.92,1.0,2.17,0.0,0.91
83,2023,12,Envoy Air,MFE,"Mission/McAllen/Edinburg, TX: McAllen International",95.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
84,2021,11,Southwest Airlines,BDL,"Hartford, CT: Bradley International",1157.0,0.0,327.0,0.0,800.0,31.54,0.0,10.03,0.0,20.43
85,2021,12,SkyWest Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",2354.0,1046.0,29.0,0.0,355.0,32.0,12.0,1.0,0.0,5.0
86,2022,11,CommuteAir LLC dba CommuteAir,BRO,"Brownsville, TX: Brownsville South Padre Island International",525.0,579.0,123.0,0.0,483.0,10.92,1.0,3.85,0.0,4.23
87,2021,12,Allegiant Air,OAK,"Oakland, CA: Metropolitan Oakland International",781.0,24.0,188.0,0.0,455.0,5.29,0.43,5.58,0.0,6.7
88,2022,11,Allegiant Air,GRI,"Grand Island, NE: Central Nebraska Regional",34.0,0.0,33.0,0.0,12.0,1.54,0.0,1.0,0.0,0.46
89,2023,11,Endeavor Air Inc.,PWM,"Portland, ME: Portland International Jetport",102.0,0.0,171.0,0.0,276.0,3.59,0.0,6.28,0.0,6.13
90,2021,11,Air Wisconsin Airlines Corp,DTW,"Detroit, MI: Detroit Metro Wayne County",603.0,0.0,39.0,0.0,153.0,9.9,0.0,2.0,0.0,2.09
