,Year,Month,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
152,2022,11,SkyWest Airlines Inc.,IAD,1503.0,337.0,0.0,0.0,921.0,37.0,8.0,0.0,0.0,5.0
153,2022,12,Allegiant Air,LCK,595.0,257.0,115.0,0.0,601.0,5.53,2.45,2.72,0.0,10.3
154,2022,12,Horizon Air,IDA,37.0,60.0,79.0,0.0,467.0,1.24,0.95,1.99,0.0,5.81
155,2021,12,JetBlue Airways,SJC,279.0,0.0,119.0,0.0,159.0,3.79,0.0,3.6,0.0,1.61
156,2023,12,Envoy Air,PHX,347.0,1876.0,513.0,0.0,431.0,4.36,5.48,16.55,0.0,8.62
157,2022,12,Envoy Air,FWA,54.0,201.0,307.0,0.0,66.0,0.74,1.31,4.93,0.0,1.02
158,2022,12,Republic Airline,DTW,682.0,90.0,339.0,0.0,792.0,11.96,2.92,12.16,0.0,12.96
159,2023,11,Alaska Airlines Network,GEG,716.0,0.0,157.0,0.0,649.0,12.56,0.0,4.22,0.0,15.22
160,2022,11,American Airlines Network,RSW,1821.0,94.0,1021.0,41.0,2280.0,31.35,2.53,28.06,1.2,31.85
161,2022,11,Delta Air Lines Network,DAY,137.0,0.0,33.0,0.0,58.0,3.9,0.0,1.16,0.0,2.94
162,2021,11,Mesa Airlines Inc.,CLT,1322.0,0.0,154.0,0.0,177.0,19.0,0.0,4.0,0.0,3.0
163,2021,11,Alaska Airlines Network,PHX,1210.0,0.0,421.0,0.0,1131.0,20.68,0.0,12.9,0.0,18.43
164,2022,12,Endeavor Air Inc.,MSY,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
165,2023,12,Endeavor Air Inc.,MLI,97.0,619.0,35.0,0.0,55.0,2.69,1.0,1.54,0.0,1.77
166,2023,11,GoJet Airlines LLC d/b/a United Express,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2023,12,Mesa Airlines Inc.,CLE,498.0,107.0,0.0,0.0,1145.0,5.36,1.03,0.0,0.0,2.61
168,2022,12,PSA Airlines Inc.,SDF,187.0,13.0,234.0,0.0,217.0,6.27,0.25,7.55,0.0,4.93
169,2023,12,Endeavor Air Inc.,TVC,0.0,198.0,0.0,0.0,34.0,0.0,0.99,0.0,0.0,1.01
